label,pixels_28668,pixels_32764
209.0_1.5,222753063,208895195
52.7_-27.2,171625811,169209311
188.0_-0.5,241554277,227888850
27.6_-30.2,242381471,239046253
14.4_-34.1,201328216,192860201
224.0_1.5,230249792,209983356
4.7_-31.2,227179984,219407373
211.6_-2.5,234130642,220631392
348.2_-32.1,240303021,231237416
223.0_0.5,231851036,209711902
37.6_-29.2,249376712,240993937
351.8_-31.2,236218365,219536856
42.6_-30.2,237730073,229794298
184.0_-1.5,232717788,216540325
349.8_-28.2,226351381,222542574
194.0_-0.5,244660422,228890651
212.6_2.5,209857050,200353207
176.5_2.5,209402056,201742171
199.0_0.5,256353166,242046912
1.2_-32.1,218619114,206924483
156.0_0.5,0,0
12.9_-32.1,226887389,215372764
212.0_-1.5,231152519,213646571
167.5_-2.5,242102500,233054488
49.4_-32.1,228113602,218827184
211.6_2.5,227076321,211446513
33.4_-30.2,236357749,222718240
214.0_0.5,240648800,225821524
346.6_-35.1,216720901,201628868
5.8_-31.2,244909483,235309542
197.0_1.5,226991845,223105715
136.0_-1.5,211903266,186867616
230.6_2.5,13532971,12358259
41.6_-33.1,232904558,225477542
0.0_-34.1,237712482,226975347
226.6_2.5,14024225,13468949
16.9_-28.2,243161105,236352952
349.4_-32.1,228072446,213860990
332.9_-32.1,221664808,204275044
217.0_-1.5,227264483,203464109
199.0_1.5,233983803,221640271
49.3_-27.2,166407678,154404634
162.0_0.5,233030663,218683733
237.0_1.5,173309892,158845408
50.0_-26.2,0,0
186.0_-0.5,239438035,227331869
200.0_0.5,242745763,230320317
135.0_-0.5,208381361,182046839
16.1_-30.2,238422876,233620592
184.0_1.5,243405165,236109629
176.5_-2.5,229779745,218962745
334.5_-35.1,210739840,200438156
12.0_-34.1,237990331,235148561
340.5_-35.1,235421771,217940270
221.6_2.5,222495531,207870213
348.7_-28.2,229646713,223417106
342.9_-29.2,226099558,218146217
162.0_-0.5,80919780,79559215
214.0_-1.5,220836440,203603018
169.0_0.5,215317975,207434939
9.2_-30.2,248903488,235843726
357.6_-32.1,225326017,215109461
179.0_-0.5,238020725,224750309
169.5_2.5,230748640,214535452
170.0_0.5,224224508,212274648
157.0_-1.5,51383980,49431427
4.5_-28.2,230700761,220448850
337.4_-33.1,235399858,226876114
214.6_2.5,231336632,224025520
341.4_-31.2,240512321,222129272
192.0_-0.5,239566924,229384972
5.8_-30.2,247314896,230104384
182.0_1.5,244564946,226315573
8.3_-33.1,247065732,240631942
355.4_-29.2,222878459,210751471
177.5_2.5,232607658,222055585
48.6_-35.1,216534270,206451509
139.4_2.5,229813865,213984274
40.8_-31.2,241728479,228346357
29.4_-32.1,218790422,212664377
212.6_-2.5,219726810,211503896
183.5_-2.5,245814933,240140039
40.3_-30.2,230936896,217413705
192.5_2.5,248582354,241740860
226.0_-0.5,223688246,204749208
130.4_2.5,175178581,155137273
337.2_-29.2,230499006,217656244
47.2_-30.2,219885398,209713591
354.2_-31.2,240333537,228103999
32.6_-31.2,227528322,218359371
345.0_-30.2,230575656,216799163
229.0_-0.5,229952548,219583341
191.0_-0.5,231345005,222218526
135.0_1.5,201749190,186011382
173.0_-1.5,246477487,231521460
219.0_0.5,240708713,224901020
30.6_-32.1,228974447,223989995
178.5_-2.5,239938778,234110897
214.0_1.5,232774842,219427936
191.0_1.5,225964496,213850269
355.3_-32.1,222196957,214798867
21.4_-28.2,230539572,220727245
18.4_-30.2,172451049,163651789
348.5_-30.2,227003532,221269662
18.2_-29.2,236072746,229787009
208.0_1.5,241382731,234103640
134.0_-1.5,217043759,196059260
352.9_-33.1,238079137,222601194
44.4_-34.1,231032603,224820889
174.0_1.5,241575386,231385501
39.5_-28.2,222680653,215083187
203.0_0.5,242895818,234211551
200.6_-2.5,225887220,212720357
166.0_0.5,245585951,230570071
357.7_-31.2,239450478,232850615
210.0_0.5,243162923,236930623
134.0_-0.5,212085488,197890124
15.0_-30.2,231535912,221248052
180.0_0.5,226115761,213668153
350.8_-30.2,232468995,225111859
234.0_-0.5,219597880,202248767
167.0_-1.5,234916948,224670083
45.0_-35.1,230508903,219581709
187.5_-2.5,217891366,211300076
3.6_-35.1,227947141,218917650
192.0_1.5,224611971,216817352
156.0_-1.5,0,0
184.5_-2.5,237399281,222526798
192.0_0.5,244783652,228220849
356.4_-35.1,252294623,244971266
8.2_-31.2,242717627,234465267
21.6_-29.2,233747442,228351471
336.7_-31.2,218989247,202453551
344.4_-34.1,237236359,226030115
14.1_-32.1,238996801,225799733
16.5_-32.1,238087987,232179405
187.0_-0.5,238604187,231191040
41.8_-28.2,225702633,222031440
134.4_2.5,194086549,182315358
20.5_-29.2,239654442,229173219
51.3_-29.2,233990373,222328225
36.5_-32.1,245517878,229955752
161.0_0.5,220228202,208883237
218.0_0.5,244819839,233066989
40.6_-28.2,219637901,211346516
157.0_0.5,70586907,67482043
5.9_-33.1,227801473,221654824
161.4_2.5,232384974,225468682
129.0_1.5,199630035,179172406
179.0_-1.5,241397184,228442086
174.0_-1.5,226840528,217874624
33.6_-34.1,241406105,230785906
5.9_-32.1,248808190,238273499
176.0_-1.5,247778601,233915803
22.6_-33.1,227497137,216871248
205.6_2.5,226746381,214727259
220.0_-0.5,211580393,200748421
158.0_0.5,237574307,227898996
198.0_0.5,251020089,245903504
193.0_1.5,236895528,228015033
218.0_1.5,235097955,222762300
213.0_0.5,237280654,223457024
238.0_0.5,0,0
184.0_0.5,239220988,230558730
193.5_2.5,227569554,222806486
30.0_-34.1,229125550,218547372
4.6_-29.2,245697624,231927222
217.0_1.5,213153003,196219259
180.0_-1.5,227775509,215704500
182.5_2.5,238149871,228802994
182.0_-0.5,229619692,216344502
7.9_-28.2,214883072,206766128
337.6_-27.2,160471430,154063836
211.0_-1.5,243674345,222854627
177.0_-0.5,224473988,208478275
355.3_-31.2,232052700,215758511
43.3_-29.2,235201171,222556821
15.8_-28.2,241117883,230731858
342.4_-32.1,215389135,201008039
177.5_-2.5,241533141,225950725
160.4_2.5,241832344,231215315
346.9_-33.1,247946444,238858670
19.8_-31.2,242538672,233006702
228.0_0.5,237284625,216141478
