label,dseeing_ori,dseeing_corr,dbeta_ori,dbeta_corr
161.0_0.5,0.0514683654620951,0.007657183567841105,0.14891632989286255,0.043193283761366594
38.0_-30.2,0.02619378643463033,0.0008556682510591874,0.049869671351142536,0.005478630239004838
23.9_-29.2,0.036040470831740196,0.0016965878207432599,0.06440908434564961,0.010769927851939611
212.0_-1.5,0.06748099515731736,0.01594742987386061,0.240562873368038,0.08367426877961782
36.5_-32.1,0.03948377636459917,0.002579026907867807,0.10558365499800344,0.02006522028483969
38.0_-33.1,0.022970356139822394,0.0014089200619338469,0.03930688139210613,0.0013605855197777648
158.0_0.5,0.04935532661184559,0.007251563507049112,0.12539301515761883,0.02865380506913452
7.9_-28.2,0.018600641469964974,0.0005323374084134727,0.03216004176171156,0.0018385478790730184
182.5_-2.5,0.028901768810412273,0.004339127114673118,0.0636657992808525,0.007157929711398645
129.0_1.5,0.031375888527570395,0.0010413035708769728,0.05807420708652853,0.009961391504173914
1.2_-34.1,0.05512631777380447,0.00808246921064118,0.14078014255255786,0.034475179189804146
32.9_-32.1,0.04582752846235459,0.007797436518269114,0.10121292697440737,0.02268126986795596
43.1_-31.2,0.05273300804912116,0.008154737349972668,0.18150602971147567,0.056175699267667835
140.0_0.5,0.04358022649485747,0.005631854622317341,0.11550203515256785,0.02479576279532283
334.7_-30.2,0.03339664667058389,0.002081596771475414,0.06284330951822362,0.011203592699746329
36.1_-31.2,0.046011633031476935,0.00517634405427227,0.09759761926943161,0.021494018650630452
3.5_-32.1,0.0269318673173143,0.0011942265324191837,0.04677779546455249,0.003259020953242662
132.0_0.5,0.06329751865686556,0.01595893049748471,0.25601871043226804,0.08876417447698846
330.4_-29.2,0.04588868903663338,0.007152070924165451,0.12562448791816977,0.032676640868282286
6.0_-34.1,0.034880965627538243,0.0031715209982823276,0.07762011451331827,0.011501120238984398
18.4_-30.2,0.03806864658982602,0.005443631982717173,0.0761619476849398,0.011578775996408249
31.2_-34.1,0.06037971626798921,0.013674573789627682,0.14997791561185778,0.04857877939500809
4.7_-31.2,0.022050204515770305,0.0009043382154440041,0.03502481819535423,0.0031812793372326905
159.0_-0.5,0.06850167965506244,0.01674035261294865,0.24867106211659337,0.08094934598799386
222.0_1.5,0.06805480339727428,0.014293655575263972,0.17890661435268546,0.05540609899968753
48.6_-35.1,0.05455010530315527,0.010680820922544161,0.13956675879526795,0.04088637185514278
172.0_-1.5,0.07374932171638812,0.023896674636698836,0.3414769847059258,0.13038697924472603
349.4_-32.1,0.053075703753974,0.008337193463772463,0.18255874193869448,0.04714029414992299
185.0_1.5,0.026729625623861223,0.0008674184293055047,0.04698707934220171,0.004248439930075314
8.2_-31.2,0.038175486553882663,0.0032788315436682466,0.06818611555600695,0.011507812198675974
178.0_-1.5,0.06487786768855763,0.017141963274932788,0.26997051719023374,0.09258934138914274
17.3_-30.2,0.03707743895646939,0.004576436596010366,0.07764807143066885,0.014540579651076956
130.4_2.5,0.027296704498613943,0.0017420601081012752,0.045457671061578865,0.003223388369485073
348.1_-33.1,0.04466896536176193,0.006565538053734106,0.11097747864275812,0.02531402369379305
53.5_-29.2,0.03678988703983248,0.004481986877118287,0.07806416889291125,0.01318445547354233
342.7_-30.2,0.023763590645795973,-0.0007870949812015502,0.042023111673873195,0.0033693843763262623
214.0_1.5,0.07011569553978039,0.016050616845261833,0.2973206266048151,0.10157770589895528
200.0_0.5,0.03740234452929871,0.004891159942910568,0.07820036330759489,0.014558110625544077
211.6_2.5,0.05571993199231624,0.010869085208328917,0.16322989555891373,0.04631960154328933
170.0_-0.5,0.043980707732179485,0.006806320513229439,0.09000311429461218,0.021264179158916006
37.2_-34.1,0.02083758191160671,0.0019768413682051864,0.03213776134830256,0.0021374677284075544
36.8_-30.2,0.06804401228287563,0.016304855978514828,0.2703749303667387,0.099383601608947
337.2_-34.1,0.04909675683394266,0.007003368442457099,0.11744436158197503,0.029719383982818
204.0_0.5,0.04375832521521302,0.006481242171812697,0.09967658641381383,0.018724199176309565
30.9_-33.1,0.03149287126913223,0.0036146855591556604,0.059812015165833864,0.008611270932643168
177.5_-2.5,0.05823468991104182,0.009339357703931123,0.19404818154990872,0.05434454430856941
176.0_-0.5,0.023894881125679352,0.00014152002508373252,0.04502756810199202,0.004612137291417515
14.7_-28.2,0.04647238987246549,0.007833409323328275,0.11143900611135156,0.026408607743935136
173.5_2.5,0.03498835638099075,0.003363712158238232,0.07085008989878806,0.011016579823206881
223.0_0.5,0.067106319359619,0.015767871005547936,0.2528039897910794,0.08180057438498704
32.6_-31.2,0.042460182065071767,0.003517703999422504,0.07697941346939685,0.01853491028405004
50.1_-31.2,0.024435231695252125,0.0012112591883068442,0.0421715947649055,0.003893236079372652
185.5_-2.5,0.02937657505394783,0.002429544293373408,0.06215894096989929,0.007610080629390777
141.0_-0.5,0.026083737977983877,0.0022213254668679524,0.05516620693306274,0.006789209556373938
217.0_1.5,0.08055645927004322,0.025943497429679985,0.3441986277126704,0.13345218263825967
335.7_-35.1,0.04811192921163044,0.005665028651658015,0.12372058596397965,0.033410091110387834
2.4_-34.1,0.04623274032060868,0.005142028465116639,0.10505017991194081,0.023757244514369107
21.0_-31.2,0.05100652553846212,0.006176863311703032,0.13287750887253622,0.032044469876563425
344.4_-34.1,0.029872356408532183,0.003532909953070981,0.05072435218054219,0.005661648536520848
23.0_-30.2,0.030560489794404594,0.001418676458316006,0.04638114785341329,0.006565252668271875
133.0_1.5,0.04349351385557743,0.00828361001382479,0.11582511702021712,0.022208943332337312
29.6_-29.2,0.07515199253957701,0.022337508695527575,0.27866907874178115,0.09921607558780163
218.6_2.5,0.04406265660939832,0.00551265082689743,0.12818797661692627,0.025687866734061485
357.6_-34.1,0.04807470289500795,0.009376560018884546,0.10533073022124298,0.027487500878701148
19.4_-29.2,0.03295435700147768,0.004654237631574161,0.06192911107683993,0.009734779767844882
9.5_-33.1,0.04981068413995994,0.006485163842120471,0.14407241564365733,0.03698486169808374
138.0_0.5,0.035324091437490684,0.006160032523758688,0.07419453703958785,0.01436162153227369
221.0_0.5,0.07325196507785328,0.019008183449369675,0.3818599920887034,0.14000350388898636
10.8_-34.1,0.050814331383746546,0.00772099918188958,0.14413489480919475,0.03320166356343628
8.1_-30.2,0.04136566276377843,0.004826516701891437,0.08600188395047122,0.01364726440380257
210.0_0.5,0.0406563879663821,0.0043544209442989736,0.08432217712804849,0.017159597289636296
350.7_-31.2,0.03327851457964651,0.004335138821113132,0.07718297437585496,0.011581560801253327
332.7_-29.2,0.021902216315785858,0.0017018236676830964,0.03724995151761272,0.0008312567090065834
26.2_-29.2,0.054626945343019984,0.010257526930530432,0.16241863790191005,0.04296985350498403
343.0_-35.1,0.03305171117232695,0.0019186459041199647,0.06943221605684004,0.010053440897643307
222.0_-0.5,0.05403981027283418,0.006743152119565755,0.15929227475387073,0.04131671402297025
48.7_-33.1,0.0468526469763776,0.0058614288718808515,0.09974224857716166,0.02443497141950155
195.0_-0.5,0.05899176320386817,0.01370593122475535,0.1672633549812377,0.051907966376548355
213.6_2.5,0.03408249737817007,0.002485532180503734,0.07661797676366328,0.011321008497989928
5.7_-29.2,0.04244929819007934,0.007489108311753478,0.11124694420613558,0.028304611846112496
46.3_-28.2,0.020926847475341893,0.001664076768259952,0.030787822213848196,0.004247008419893913
2.3_-30.2,0.021173170869764526,0.00038005200590065244,0.026752286083819347,0.00011542639199781649
183.0_-0.5,0.052334394408800805,0.008061426359239565,0.16834793558931493,0.04493207941483805
52.4_-31.2,0.04249845430763815,0.007957842869734446,0.10845776729768918,0.025794423569280217
354.2_-30.2,0.025824642182007918,0.0011653959757094937,0.0386854083049376,0.0012766336269844428
356.4_-35.1,0.03178301111950925,0.0017575795789944008,0.050322342654944,0.008754654786031012
174.0_-1.5,0.030323032096601355,0.003137727819646151,0.06103100703740075,0.006213101966582016
