label,dmag_u,dmag_g,dmag_r,dmag_i
161.0_0.5,0.01586327289568151,0.04002474024997241,0.0187699943780899,0.05645684098451943
38.0_-30.2,-0.1210589746027179,0.003338110592359042,0.03319396823644638,0.0569336173551701
23.9_-29.2,-0.213697186813883,-0.00720278061979024,0.02736277133226395,0.02457261984790512
212.0_-1.5,0.022559807353682,0.02644691815997624,-0.00165890529751777,0.004376049487124419
36.5_-32.1,-0.03193223461748951,0.02553769388095134,0.03092917427420616,0.06572098384307265
38.0_-33.1,-0.0210970328795794,0.04850540481918768,0.02576147019863129,0.02681276780833798
158.0_0.5,0.0113876790556758,0.03773186461212277,-0.0120198056101799,0.05782708305992151
7.9_-28.2,-0.1657110536110121,0.07118057213523435,0.03806357458233833,0.03345436559094832
182.5_-2.5,-0.1236591668434241,0.03271040631276378,-0.04552941769361496,0.05618229419822057
129.0_1.5,0.05754017293025345,-0.01440078887134746,0.0292698573321104,0.03442560606229313
1.2_-34.1,-0.05207507432489616,-0.0488264288811231,-0.04317191243171692,0.06146517005500642
32.9_-32.1,-0.00043636440529931,0.03272568160480978,0.04080822318792343,0.1015573105270487
43.1_-31.2,-0.1501280365579968,-0.03198617360590197,-0.00618579238653183,0.0933288755341373
140.0_0.5,0.004600482159800037,0.01990404924248719,0.02964439243078232,0.08045716140935269
334.7_-30.2,-0.258959345920596,-0.00862101286312486,-0.05441635102033615,0.02833602747542137
36.1_-31.2,-0.1713572502697249,-0.01279734661526027,0.04072028771042824,0.03872828504896052
3.5_-32.1,-0.1267024314606557,-0.0399368653123961,-0.02976757101714611,0.06422500836523296
132.0_0.5,0.01799882396458623,0.04799930087410575,0.04320791363716125,0.04675184569379531
330.4_-29.2,0.04328703823416359,-0.619045804137472,0.002324201166629791,0.04931919255131675
6.0_-34.1,-0.1080318242740428,0.02444905625416504,-0.00568012148141861,0.05954447117541121
18.4_-30.2,-0.0046279086855111,0.08195435962359261,0.03025757148861885,0.04501249858088977
31.2_-34.1,-0.1015044940233753,0.01404337214024099,0.01975993812084198,0.06735334719636557
4.7_-31.2,-0.1112899525445191,0.03964839321910245,0.02079064771533012,0.05761813353438515
159.0_-0.5,0.008300650547390098,0.06005973565422483,-0.05010929331183434,0.06615033309467663
222.0_1.5,0.05669615075149161,0.03437474964363071,-0.1054458618164062,0.0546739786718739
48.6_-35.1,-0.1114289692167173,0.03227769669877762,0.03219667822122574,0.03454815690442047
172.0_-1.5,-0.0081603985195003,0.03954418335779133,-0.0049454141408205,0.04926499200491549
349.4_-32.1,-0.0458128499896565,0.009771418653670934,0.02462882548570633,0.0481574121210515
185.0_1.5,-0.03269713246428883,0.000720410327172772,0.04280879348516464,0.05514362368819138
8.2_-31.2,-0.1428933467031353,0.006456434505410925,0.03524733334779739,0.02365245558910237
178.0_-1.5,-0.0285188839030195,0.02292832118871365,-0.0030941218137741,-0.02889095857007442
17.3_-30.2,-0.1275279986282772,0.01362024950024261,0.0272832028567791,0.06896200686741781
130.4_2.5,0.009794534089731771,0.03142225549489137,0.03727640956640244,0.07480082047480778
348.1_-33.1,-0.1090174100315409,0.05298489678909289,-0.01878289133310318,0.08841138346451419
53.5_-29.2,-0.1069608310620915,0.06027353906943426,0.1138559207320213,0.07676143419749587
342.7_-30.2,-0.06262419786741737,0.02351646668566173,0.03578398004174232,0.05507014936255632
214.0_1.5,0.06173869501330741,0.04886457152253661,0.006251297891139984,0.04157540949790541
200.0_0.5,0.0255498406598015,0.05156129924251127,-0.05096889287233353,-0.02335228377299131
211.6_2.5,0.0781023679044647,0.06994673072280103,0.01296629011631012,0.01188601775823804
170.0_-0.5,-0.04068771006430198,0.05447570978541353,0.03153618425130844,0.0587963157809952
37.2_-34.1,-0.1137906064936151,-0.04348680597784005,0.000556137412786483,0.05984656286344807
36.8_-30.2,-0.01614861790184563,0.02154151751769132,0.05673161149024963,0.05413012013812749
337.2_-34.1,0.001698884792061636,0.0117051088089147,0.03047838062047958,0.04755186131409164
204.0_0.5,0.03441779480688434,0.01117944881804761,-0.06277760863304138,0.07134778769681169
156.0_1.5,-0.02299383805504232,0.05583717706685707,0.006695210933685303,-0.02452408257149477
30.9_-33.1,-0.02416957819951671,0.03786175933046115,-0.03773084282875061,0.04532932210143235
177.5_-2.5,-0.1193864218158029,-0.04369753344139923,0.03326807916164398,0.04552705777450416
176.0_-0.5,-0.01191404599735368,0.01178322518521014,0.03925219923257828,0.06256583452172691
14.7_-28.2,-0.1630599043262702,0.02682170157005976,0.03486917167901993,0.03342757120865417
173.5_2.5,0.07748042713898091,0.00892090063958392,0.000317513942718505,0.09116669254324848
223.0_0.5,-0.01694948261656029,0.070612357581585,0.006763303652405739,0.05400776542573351
32.6_-31.2,-0.03318075192662648,0.03557502742872566,0.03467792272567749,0.07135363545636664
50.1_-31.2,-0.01085757680115432,-0.00038470673510528,-0.01533468067646027,0.06895744557896251
185.5_-2.5,0.02037783697720673,0.01979581341463575,-0.0608045905828476,0.03531438320159531
141.0_-0.5,-0.04321637920352658,0.01857605541738803,0.03835088759660721,0.07241757739187688
217.0_1.5,0.04103818565633921,0.06775679279650956,0.01167202368378639,0.03447320904812932
335.7_-35.1,-0.3658773348942391,-0.00913950018953562,-0.04460830986499786,0.04453967771422664
2.4_-34.1,-0.0622673842288716,-0.04131490868665151,0.03117909096181393,0.05289954525118173
21.0_-31.2,-0.0808810955449148,-0.01650930967450677,-0.04603687673807144,0.0667042658318037
344.4_-34.1,-0.1571650143928081,0.03292972391637249,0.03784504160284996,0.04848225003358561
23.0_-30.2,-0.06018958391333806,-0.00239980129111427,0.03219542652368546,0.07809228212713243
133.0_1.5,0.0351429264623526,0.05911681372698672,0.01951901242136955,0.04387991027843759
29.6_-29.2,-0.1345860348625528,-0.16083053618543,0.1025271415710449,0.06231638587367888
218.6_2.5,0.0339073573935966,0.04344911892309551,0.01666522026062012,0.07260896037424641
357.6_-34.1,-0.09439422642039008,0.05661118320351444,-0.05429839342832565,0.04970339781256213
19.4_-29.2,-0.1735628300536947,-0.02797004384485285,-0.04010890424251556,0.07626803322060277
9.5_-33.1,-0.1654118356741661,0.02491004466799723,0.03573895245790482,0.01340318533081881
138.0_0.5,-0.07258869346090835,-0.06520755992625368,-0.03851150721311569,0.08222854928435573
221.0_0.5,0.06421549154040711,0.0742584838725553,0.03059846162796021,-0.1012810999663916
10.8_-34.1,-0.1360199631880903,0.03672283192335091,-0.09111884236335754,0.05922525769201548
8.1_-30.2,-0.1368996115285031,0.04198543862288204,0.04022638499736786,0.07334668674335831
210.0_0.5,0.0189718573644973,0.05554327345025081,-0.05239197239279747,-0.03002662756952418
350.7_-31.2,0.000486035220138306,0.0314084622044711,0.07765146344900131,0.05424771356348697
332.7_-29.2,0.006830895502457815,-0.4664651512878367,0.02454213425517082,0.04393982698053731
50.0_-26.2,-0.0202158688673498,0.0107474020686227,-0.01538227871060371,0.0463731095325843
26.2_-29.2,-0.1408793009326144,0.03305332940150857,-0.07587336003780365,0.02991975024992462
343.0_-35.1,-0.06463984129200961,-0.1222762056274664,0.05340481549501419,0.06713556375858343
222.0_-0.5,0.01018237448090312,0.05401864792503511,0.001975191757082939,0.03462019355441669
48.7_-33.1,-0.0517774834675849,-0.08727087875066719,0.05103069543838501,0.0514765695735523
195.0_-0.5,-0.04123660774125372,0.04236797578474751,-0.07819569855928421,0.0206673076541158
213.6_2.5,-0.0421881295715883,0.07082417030862223,0.02866008132696152,0.06966195145493498
5.7_-29.2,-0.1191882419300112,0.01855996981674161,0.01210336200892925,0.04781884710168015
46.3_-28.2,-0.07848170219967679,0.03471735350081553,0.05891793593764305,0.05579839040586694
2.3_-30.2,-0.08315778967701899,0.02833773422317108,0.03567837923765182,0.0444263348465106
