label,rmsAW_u,rmsAW_g,rmsAW_r,rmsAW_i,rmsTHELI_u,rmsExpo_u,rmsTHELI_g,rmsExpo_g,rmsTHELI_r,rmsExpo_r,rmsTHELI_i,rmsExpo_i,FileSeeing_u,seeing_e1_u,FileSeeing_g,seeing_e1_g,FileSeeing_r,seeing_e1_r,FileSeeing_i,seeing_e1_i,MeasSeeing_u,MeasBeta_u,MeasSeeing_g,MeasBeta_g,MeasSeeing_r,MeasBeta_r,MeasSeeing_i,MeasBeta_i,InputSeeing_u,InputBeta_u,InputSeeing_g,InputBeta_g,InputSeeing_r,InputBeta_r,InputSeeing_i,InputBeta_i,HeaderSeeing_Z,MeasSeeing_Z,rms_Z,HeaderSeeing_Y,MeasSeeing_Y,rms_Y,HeaderSeeing_J,MeasSeeing_J,rms_J,HeaderSeeing_H,MeasSeeing_H,rms_H,HeaderSeeing_Ks,MeasSeeing_Ks,rms_Ks,MeasBeta_Z,MeasBeta_Y,MeasBeta_J,MeasBeta_H,MeasBeta_Ks,InputSeeing_Z,InputBeta_Z,InputSeeing_Y,InputBeta_Y,InputSeeing_J,InputBeta_J,InputSeeing_H,InputBeta_H,InputSeeing_Ks,InputBeta_Ks,rmsExpo_Z,rmsExpo_Y,rmsExpo_J,rmsExpo_H,rmsExpo_Ks,seeing_e1_r_expo0,seeing_e1_r_expo1,seeing_e1_r_expo2,seeing_e1_r_expo3,seeing_e1_r_expo4
1.2_-34.1,5.304604252043582,1.9663680365040968,2.2216824067051792,9.305428141506424,6.0732414081646935,12.146482816329387,2.25129476499354,5.03404813191497,2.5436041874367588,5.68767187096171,10.6537846792107,23.822586760360927,1.034,0.032,0.723,0.045,0.61,0.046,0.737,0.046,0.95556,2.23442,0.6707529999999999,2.0866740000000004,0.5951894000000001,2.502235,0.7224452000000001,2.871179,0.9401199999999998,2.181927931655136,0.6435059999999998,1.9473276520703602,0.5623788000000001,2.2301106397749684,0.7008904000000001,2.703525945907204,1.0835768919459363,1.2190413669324205,21.99706885051407,0.9807510918250226,1.0832788083451792,39.89196982288895,0.9160229365645364,0.9607264593977632,46.96427220992844,0.8035893251412004,0.9084813774170004,79.90357140074407,0.8289616988615265,0.9754306688032458,114.69979745882726,2.5404225356561456,2.642452187397831,2.8634399483734265,3.035813535237593,2.825768640306962,1.1834827338648408,2.4412446978765248,1.0445576166903583,2.494548453553254,0.9184529187955264,2.684835950747229,0.8649627548340009,2.8221351055012596,0.9342613376064914,2.6534676586527803,21.99706885051407,39.89196982288895,46.96427220992844,79.90357140074407,114.69979745882726,0.016758808515179302,0.04927257164493437,0.019158391030660527,0.03180368471484074,0.037612752577452224
32.9_-32.1,5.194106386683428,2.2229300691384046,2.3850500614121546,6.6378145303748095,5.946732402113855,11.89346480422771,2.5450326361565576,5.690865979401552,2.7306438153107746,6.105905193374273,7.5996338558261165,16.993297905736036,1.17,0.046,0.895,0.049,0.6629999999999999,0.048,1.082,0.037000000000000005,1.0560486000000002,1.910695,0.8209744000000001,1.916384,0.6310792000000001,2.260235,1.0216804,2.375192,1.0420972000000004,1.8827330888759608,0.7999488000000001,1.8527888548077185,0.6001584000000001,2.071020719104601,1.0073607999999998,2.3255496125557125,1.2976647322969252,1.3494798748954966,13.85319562848886,1.0897657098521851,1.1075576556408049,42.12294847462996,1.0084519491926085,1.0449650485649289,35.933429157240795,0.8958968747659687,0.9654961374857152,97.74159101943272,0.8743103028398755,0.966442803683218,99.50652928426857,2.4996031042908475,2.6168381309784823,2.692550797705916,2.8507769273585133,2.8483154831776973,1.3185597497909929,2.414434513243568,1.0693153112816096,2.4939207988223075,1.0070300971298578,2.549586942281768,0.9245922749714304,2.669094343086685,0.926485607366436,2.6640237876570128,13.85319562848886,42.12294847462996,35.933429157240795,97.74159101943272,99.50652928426857,0.035510342922139726,0.0181563965874646,0.02318054862164176,0.023202904979240047,0.0158188111136921
43.1_-31.2,5.702076870674717,1.8904941205116368,2.3337681667011743,8.525903044724043,6.528307809235481,13.056615618470962,2.1644267185737722,4.839805275047762,2.6719311740561733,5.9746197363904265,9.761306395904553,21.82694465044605,1.068,0.038,0.664,0.06,0.5670000000000001,0.048,1.057,0.044,0.9934402,2.319467,0.6107768,2.126748,0.5832438,3.175608,0.9810414,2.344912,0.9788804,2.2812371783085745,0.5785536,1.9331083671890268,0.5524876,2.743382752684151,0.9640827999999998,2.2868492214302854,0.8383912455873485,0.9091682691476308,19.539908326306502,0.8249950737205836,0.8657024980766761,39.632686311888975,0.9579360499887246,1.0252861099611816,29.487576348416013,1.0194714831262692,1.0800268236108992,51.47179752927947,1.030505616112762,1.0851364167982114,61.61421425493121,3.03307883629886,3.2385254434898663,2.7239056244685966,2.646213955418951,2.640340359830177,0.8663365382952617,2.815208530478139,0.8236049961533521,2.988289834887629,0.9863722199223632,2.563675362380576,1.0414536472217983,2.5008655168109426,1.0482728335964226,2.504307965516205,19.539908326306502,39.632686311888975,29.487576348416013,51.47179752927947,61.61421425493121,0.036918538387462174,0.049993137145846855,0.04318898719911768,0.027238607019371086,0.044236147423398216
140.0_0.5,5.010541783716488,2.4528376677388035,2.9716897152315407,8.26240194582568,5.736569288177005,11.47313857635401,2.808253845794156,6.279446497270943,3.4022875549685896,7.607746251911317,9.459623987775817,21.15236227825437,0.8590000000000001,0.036000000000000004,0.639,0.041,0.648,0.053,0.754,0.048,0.7954640000000001,2.17059,0.6022946,2.167377,0.6324382000000001,2.701026,0.7238046000000001,2.655174,0.7729280000000001,2.0786830999278907,0.5685891999999999,1.952755894921341,0.6048764000000001,2.450241465263219,0.7016092000000003,2.5061826405146936,0.8594857542274568,0.8923017054897066,19.482362263628946,0.8563856483007214,0.8883024853483629,43.15054170098743,0.837124498953364,0.8852524906826135,48.67825857326614,0.9191840171108712,0.9572106996153562,103.90998038152898,0.9091568206081646,0.9519363341551362,116.9203749419538,3.104604106561029,3.1229839411474978,3.1373941378703023,2.873060162753948,2.8879650974455937,0.8496034109794129,2.8779577646530967,0.8450049706967256,2.891686456917318,0.8423049813652269,2.9040598755613463,0.9148213992307124,2.6830756401252693,0.9110726683102724,2.693271823331872,19.482362263628946,43.15054170098743,48.67825857326614,103.90998038152898,116.9203749419538,0.017693145248213304,0.0798595808992073,0.04177782800400076,0.01877655975517734,0.03329963949497383
334.7_-30.2,6.9319845811774385,1.8235597447056069,2.024518141573572,6.951367683488938,7.936429146990045,15.87285829398009,2.0877935517134487,4.6684483046169944,2.317870820287582,5.182916717226232,7.958620860826483,17.796017251955906,1.331,0.033,1.16,0.042,0.737,0.043,0.6759999999999999,0.06,1.2264128,2.318333,1.0682832000000002,2.118141,0.7025376,2.2463330000000004,0.6477548000000001,3.281999,1.2138255999999998,2.2856162305971446,1.0525664000000003,2.076487327080779,0.6770751999999999,2.11426469683584,0.6235096000000001,2.9804069555068504,1.0392642254259834,1.0476766321050903,21.21257483867649,1.0842181808715372,1.075540698793713,42.007238357002656,0.8929418466362249,0.9176302036973346,46.57958287956804,0.7836767486134778,0.8617451250668473,88.73774103400959,0.7974877698665079,0.8693355679878089,111.87602088065135,2.6885558673052112,2.651541738165642,3.0005415421818435,3.2610000938228105,3.2185160005429334,1.0073532642101806,2.5225117235653656,1.035881397587426,2.51239916353195,0.8764604073946692,2.7929279061884853,0.8190902501336945,3.0108377767824734,0.8274711359756176,2.9670884757991276,21.21257483867649,42.007238357002656,46.57958287956804,88.73774103400959,111.87602088065135,0.024625389292136424,0.034064884231738035,0.016443705484211483,0.033224618512938016,0.012214940186446864
36.1_-31.2,5.821316193697456,2.130147655486502,2.294132582027516,9.852780522813859,6.6648249101642145,13.329649820328429,2.438806050766495,5.453336113451687,2.6265523931633017,5.8731496975778965,11.280448420569586,25.22384948507373,0.8640000000000001,0.039,0.853,0.049,0.664,0.044,0.784,0.042,0.7894814000000001,2.000926,0.7946698,2.214581,0.6367041999999999,2.286357,0.7510988000000001,2.696843,0.7669628000000003,1.918291752595281,0.7733395999999999,2.1250398008814573,0.6074083999999998,2.1000071067119683,0.7301976000000001,2.557696933016799,0.93755317033241,0.9989361002815028,19.17573208587513,1.0031904618883527,1.0849882269122857,52.75795988941396,0.993798653601716,1.0606339270761396,50.08315798478717,0.8980832086431968,1.0275384924169944,122.48206204940334,0.8390039625241102,0.9819471510017744,119.60714880114122,2.7732509535697454,2.6405078546600107,2.670463049025937,2.7200956435981025,2.8103125258237664,0.957472200563006,2.6113922874030195,1.0479764538245713,2.513936598527454,1.023067854152279,2.5216040450540484,0.9874769848339886,2.5596505745501066,0.9404943020035488,2.6316505354379225,19.17573208587513,52.75795988941396,50.08315798478717,122.48206204940334,119.60714880114122,0.05156819567868354,0.041601904114434096,0.03444561337055796,0.02932107548182405,0.05305697380458052
3.5_-32.1,5.478638265797372,2.1765115973987887,2.6310177981736134,8.163081657631567,6.272492950511409,12.544985901022818,2.4918881278618725,5.572031246223835,3.012252277128969,6.735600857038912,9.345912189822377,20.89809496818676,1.026,0.043,0.8029999999999999,0.053,0.79,0.04,0.975,0.042,0.9464002,2.050787,0.7312046000000001,1.930085,0.777072,2.148498,0.9315532000000002,2.565636,0.9308004000000001,2.001556794755208,0.7064092000000002,1.8374959951567158,0.7561439999999999,2.0641781649769118,0.9151064000000004,2.5029885228689936,0.9068462932129606,0.982489643706544,20.24898107317983,0.8472035174421897,0.963851664520056,46.17748910867866,1.0182242244953612,1.0554895109302471,51.1222374113409,1.1975784160457612,1.2956200365229258,95.10935266208023,1.144283778786239,1.2460301434257641,121.02266737307285,2.809058172179009,2.855093243117305,2.677454112507419,2.5124378551420565,2.528938189742136,0.941579287413088,2.632119415569042,0.9247033290401121,2.678588783780302,1.016179021860494,2.533303108975485,1.2652400730458515,2.4305813489252834,1.2102602868515282,2.4281125660010185,20.24898107317983,46.17748910867866,51.1222374113409,95.10935266208023,121.02266737307285,0.019586672013967577,0.016602280519028234,0.024211864978803788,0.03083017736290938,0.02451514477560524
132.0_0.5,4.467593565265255,2.138445132521977,2.0630333892883392,4.2733262514798565,5.114947872872189,10.229895745744377,2.4483058322244102,5.474578270562977,2.3619669273962187,5.2815186102642535,4.892531225319285,10.940032401854262,0.926,0.041,0.823,0.037000000000000005,0.542,0.05,0.595,0.06,0.8563856,2.17457,0.7590332000000002,2.038654,0.5492348000000001,3.261496,0.5652728,2.809078,0.8367711999999999,2.097948855062985,0.7360664000000003,1.9452337300041973,0.5144696000000003,2.7079477509284042,0.5305456000000001,2.420906563552797,0.9393007832715896,0.951988503956316,15.381482050203084,0.9863356625383392,0.9823168822601968,30.952830063002327,0.9974313121249953,1.008229516626144,32.07804534560628,1.2073742413236896,1.238007841595588,80.1804368351445,1.0371849614445785,1.0660159930917834,76.70169726623001,2.8878148256707936,2.80945710188298,2.7547932021235257,2.532143374295841,2.6634081824765934,0.9111770079126321,2.6863112186729032,0.9412337645203934,2.6443928903146516,0.9658590332522878,2.5861232118093445,1.204415683191176,2.4306347101768178,1.0287319861835669,2.5346076441012837,15.381482050203084,30.952830063002327,32.07804534560628,80.1804368351445,76.70169726623001,0.07551575525840026,0.07198552454443896,0.06822942205780458,0.035256022162799334,0.04113010902356784
330.4_-29.2,4.623770921040662,4.22178706724196,2.1348767760488245,9.464215787730136,5.293755327499452,10.587510654998905,4.833524013285318,10.808088264583569,2.4442204208982985,5.465443013121743,10.835580655372233,24.22909492109403,1.0659999999999998,0.033,1.037,0.053,0.599,0.048,0.93,0.048,0.9862598,2.217944,0.9504572,2.236776,0.6195688,2.877958,0.8660846000000002,2.5083830000000003,0.9725196,2.160973232463209,0.9349144,2.197482788548476,0.5911375999999999,2.5829770875586533,0.8481692000000004,2.4361769762516547,0.9696579181222053,0.9925155861864542,20.50977903604789,1.0227124670583887,1.0323860346965836,37.85257717927298,1.0940390465300858,1.1093005245479146,37.62718086388351,0.8288528228527587,0.8850914874852759,99.5634181090172,0.808204348182769,0.8816566890449918,106.83453233716722,2.7867321648869336,2.712095935992524,2.6151557715591216,3.138164477914448,3.1548340495083256,0.9514311723729084,2.613929166302674,0.9937720693931672,2.5638798424012723,1.072801049095829,2.4904572056396086,0.8419829749705517,2.9130394432421864,0.8385133780899835,2.917645015186315,20.50977903604789,37.85257717927298,37.62718086388351,99.5634181090172,106.83453233716722,0.04674581436232772,0.024409144139231453,0.06379754184189168,0.04131036082231332,0.022063396242510414
6.0_-34.1,5.45969150355355,1.9165694630427543,2.113076265649367,11.67066305497034,6.250800802418457,12.501601604836914,2.1942803782376488,4.906560087433332,2.4192610165419595,5.4096320883030655,13.361742131635538,29.877763704160014,1.053,0.037000000000000005,1.115,0.035,0.735,0.051,1.188,0.046,0.9739567999999998,2.289398,1.0224638,2.055172,0.6937996000000002,2.510625,1.1160712000000002,2.36687,0.9599135999999996,2.2377376282635733,1.0069275999999998,2.0163669199954306,0.6695992000000004,2.3472076783162272,1.1041424000000004,2.314650565600352,0.7725278661560228,0.8851252538763573,18.954538230532524,0.7950287274110314,0.8922350036975569,35.304692018493704,0.7966936180527792,0.8562323145282027,44.1048228882306,0.9476219006284676,0.6973267528442566,81.29514780097135,0.9014966684666608,0.8603165796561405,98.54053043370816,3.13800283736468,3.1049059653050284,3.2935386093979733,5.448155835087823,3.2692920181135587,0.8420505077527146,2.912027800108965,0.8494700073951138,2.870139319027764,0.8114646290564054,3.0280889577533054,0.6500535056885132,4.0,0.8162331593122809,2.996310411737208,18.954538230532524,35.304692018493704,44.1048228882306,81.29514780097135,98.54053043370816,0.06646651855961327,0.0568687479448351,0.05792895356836525,0.05919384441653808,0.06383895858172628
