label,rmsAW_i1,rmsAW_i2,rmsTHELI_i1,rmsExpo_i1,rmsTHELI_i2,rmsExpo_i2,MeasSeeing_i1,MeasBeta_i1,seeing_e1_i1,MeasSeeing_i2,MeasBeta_i2,seeing_e1_i2,InputSeeing_i1,InputBeta_i1,InputSeeing_i2,InputBeta_i2
133.0_-1.5,8.376682598339764,9.675790737938115,9.590463906839192,21.444929231450644,11.077812815865345,24.77074249829328,0.6000000000000001,2.528,0.0440318302387268,0.924,2.118,0.033711308611707,0.5680000000000001,2.2502320987654323,0.909,2.082716111364673
133.0_1.5,5.806466873716183,8.56224632842508,6.647823923717656,14.864986195882055,9.802915821413867,21.9199861543896,0.8340000000000001,2.553,0.0382106244175208,0.8480000000000001,2.513,0.0701227040048178,0.8160000000000002,2.4650136761487964,0.8320000000000001,2.4444550413845003
137.0_-1.5,9.69013391409392,7.024385951032862,11.094234318246125,24.80746209390937,8.04221947533752,17.98294943682739,0.722,2.8435,0.0484949832775919,1.098,2.46,0.0808108564328138,0.702,2.673180467419904,1.0840000000000003,2.4175196232339093
137.0_1.5,9.81972509365147,6.906738134305105,11.242603259721564,25.139225132798146,7.907524489965912,17.681762293308132,0.7330000000000001,2.601,0.0562913907284766,0.9460000000000002,2.525,0.0397621701969527,0.7120000000000002,2.464105263157895,0.9320000000000004,2.4681779500756424
335.5_-31.2,9.824662040861243,6.9452275043570895,11.248255570582034,25.15186408411212,7.951590969738429,17.7802979376086,0.762,3.78,0.1725146198830409,0.988,2.329,0.0303030303030302,0.744,3.5777391920623662,0.972,2.267885069161921
334.4_-31.2,9.090712358409387,10.173016372806726,10.407956579142905,23.272898417829705,11.647086445226416,26.04367703134265,0.9380000000000002,2.3310000000000004,0.0426871989490585,0.8660000000000001,2.299,0.0324850275213546,0.9220000000000004,2.281679334428924,0.8480000000000002,2.213817559403947
334.7_-30.2,6.901606416839166,8.371149539257413,7.901649186639158,17.66862471568108,9.584129107495809,21.43076418949502,0.638,3.172,0.0808469682386909,0.8480000000000001,2.433,0.0299125639123402,0.612,2.864798169801728,0.8300000000000001,2.3526783109404987
335.3_-32.1,5.487053815560182,7.818737362256751,6.2821279134348496,14.04726505778924,8.951672406047752,20.01654801223188,0.706,2.669,0.0955882352941176,0.642,2.82,0.0371240377507276,0.6839999999999998,2.508068533772652,0.616,2.5675545851528385
334.1_-32.1,9.503011800974436,9.667489371682164,10.879998210935629,24.328415594728163,11.068308581638906,24.74949038448888,0.8960000000000001,2.366,0.0420288474557837,0.932,2.2495000000000003,0.0293778200694935,0.8800000000000003,2.279778213166144,0.915,2.18894563617245
333.5_-30.2,6.243611350982677,8.720753282189072,7.1483106357400645,15.984108505799522,9.984390432778266,22.325775721590748,0.681,3.0905,0.038291002590877,0.533,3.025,0.0787444933920704,0.658,2.853811481024798,0.496,2.4905488456605385
336.7_-31.2,15.617945171707968,8.689012069496613,17.880985427088447,39.98309891965288,9.948049918366667,22.244515861029107,0.66,3.001,0.0788988997106785,0.992,2.557,0.1130126881085866,0.636,2.740654365188653,0.976,2.483041083271923
334.9_-29.2,7.472677188552799,11.268923013389696,8.555468113174097,19.130608280389147,12.90178995802986,28.849279377578927,0.908,2.4075,0.0329623197837346,0.8870000000000001,2.3085,0.0595911265767725,0.892,2.340900529723368,0.8700000000000003,2.24294708886619
333.2_-31.2,8.712405456070567,9.442562496563207,9.974833006655189,22.304404667089614,10.810789802315211,24.173660888438327,0.7440000000000001,2.745,0.0480718436344426,0.7610000000000001,2.246,0.0427119125604407,0.7240000000000002,2.5985047185161085,0.7400000000000002,2.1404497781363454
335.0_-33.1,5.142539191876439,7.649117021984773,5.887693120779332,13.165282048720467,8.757474078470365,19.582307350652066,0.7570000000000001,2.5155,0.0606980273141123,0.681,2.455,0.055175363558597,0.7360000000000002,2.396857155715572,0.6560000000000001,2.288969707643537
336.1_-29.2,7.646182025509723,6.070311802664507,8.754113801006078,19.574793541818657,6.949899982870591,15.540448798523268,0.86,1.954,0.073837720555906,1.183,2.37,0.0275745638716938,0.841,1.8996959884001936,1.17,2.339790296052632
337.0_-30.2,5.93368891762901,5.578431246924118,6.793480441793451,15.190684071665462,6.38674593460342,14.281198064793674,1.013,2.172,0.0314187530682374,1.189,2.104,0.0310285454718468,0.9979999999999998,2.1214661984196663,1.1740000000000002,2.059468365953573
333.8_-29.2,6.16698331259355,6.96259333134824,7.060579194588353,15.787935039620274,7.971473105060597,17.82475574372682,0.884,2.881,0.0965975752835353,1.018,2.369,0.0454039617641297,0.868,2.801182131147541,1.004,2.3345329918032798
333.9_-33.1,11.472951160745612,9.11325348460728,13.135381783937646,29.37160657929704,10.433763914526873,23.3306053740664,0.9220000000000002,2.392,0.1002064670394661,0.942,2.233,0.0466503134266496,0.906,2.330350515463917,0.9259999999999998,2.173364985163205
332.9_-32.1,8.293139867368112,9.21531262899323,9.494815834149748,21.231053639000205,10.550611428934346,23.59188435928339,0.784,2.8085,0.0875847178463566,0.7200000000000001,2.473,0.0658384156676195,0.7640000000000001,2.687841903986981,0.6980000000000002,2.336055735346997
336.2_-33.1,6.384117059703016,7.042606128031267,7.30917562165398,16.343813549502585,8.063079755982994,18.02959444238039,0.8240000000000001,2.391,0.042165242165242,1.148,2.087,0.0394632751431922,0.8040000000000002,2.297018497109826,1.1349999999999998,2.0494050808314093
332.4_-30.2,7.848816894951329,8.645899354226625,8.986110463029773,20.093553848656683,9.89869017065406,22.134144109791475,1.058,2.474,0.0621536370280972,0.868,2.18,0.0585734529995275,1.046,2.438546132705144,0.85,2.1102662086732504
337.6_-32.1,6.095150722374164,12.759385846974732,6.978338062046178,15.6040382767094,14.608220856201363,32.664974864796434,0.8880000000000001,2.3615000000000004,0.0552883789276594,1.112,2.344,0.0407569141193594,0.8720000000000003,2.3116934698844056,1.0990000000000002,2.294667756436452
229.0_0.5,8.115122346758511,7.141779026312492,9.291003574803815,20.77531557245489,8.17662280722517,18.28348442333064,0.862,2.4935,0.0519590596390981,0.7280000000000001,2.814,0.0497630331753553,0.8439999999999999,2.417882463740818,0.7080000000000001,2.652062264150944
231.0_0.5,14.37051397359808,8.97672951808665,16.452801448372433,36.78958245886776,10.2774576252574,22.98109388594911,0.782,2.68,0.0602526724975703,1.14,2.139,0.0334907617673904,0.764,2.5520148498143778,1.126,2.096738661876965
229.0_-0.5,5.791021879781707,10.12629324811732,6.630140950162073,14.825445864967442,11.593593139769515,25.92406236399986,0.806,2.314,0.0938715953307393,0.836,2.3835,0.0627340271176264,0.786,2.2206861342868494,0.818,2.3098512103916558
231.0_-0.5,14.598743171388913,7.632982036140154,16.71410105692316,37.37386614608127,8.73900113317686,19.54100058923116,0.726,3.6985,0.0928391764699356,0.676,2.94,0.0537261698440209,0.706,3.4352096811594204,0.652,2.712968075927524
230.0_-1.5,8.841217437669934,10.877268625395368,10.122309844388305,22.634172901367567,12.453384849215151,27.846615072811048,1.052,2.257,0.0661010957935667,0.8220000000000001,2.433,0.0471691431352911,1.038,2.211418579931973,0.803,2.340169134396355
229.0_1.5,7.292445328599495,6.648830212483501,8.34912065671356,18.669201340759205,7.612245710272358,17.021498869600162,0.742,2.179,0.0697424892703862,0.892,2.3535000000000004,0.0479744136460553,0.72,2.078675208333333,0.876,2.29731691280599
229.0_-1.5,11.609649286631752,8.971527226916663,13.291887468264688,29.721563928317423,10.271501522096884,22.9677756344012,0.7160000000000001,2.7495000000000003,0.0480374926772114,0.675,2.688,0.0396975425330813,0.6940000000000002,2.59900105263158,0.65,2.488337028824834
231.0_1.5,8.244982419319026,8.745308106186451,9.43968037187835,21.107766997390485,10.012503250772864,22.38863789366575,1.042,2.549,0.0680531471278149,0.892,2.256,0.0698371893744645,1.028,2.5064683352294272,0.874,2.190090150250417
231.0_-1.5,7.492973038979832,7.052243030841811,8.578704832328006,19.18256716399136,8.074113046010787,18.05426562889801,0.886,2.631,0.0647603920522832,0.7320000000000001,2.501,0.0503095975232197,0.87,2.5450134991119,0.7100000000000002,2.382831824764663
228.0_-0.5,8.415868328457254,8.071490164969068,9.635327649250709,21.54524760920783,9.241049089873083,20.66361394836878,0.862,2.65,0.0681150910158544,0.5900000000000001,2.625,0.0718920268246279,0.845,2.5701241134751767,0.5580000000000002,2.3243392070484585
232.0_0.5,7.730566239339016,6.606043586598751,8.850725287419236,19.790823392845777,7.563259302296907,16.911961931393517,0.784,2.302,0.046480743691899,0.8420000000000001,2.486,0.0770967741935483,0.7640000000000001,2.208725349301397,0.8240000000000002,2.400773698014238
232.0_-0.5,9.334642537716112,7.141015364928388,10.687232241431174,23.89737778316755,8.175748491306509,18.2815293935027,0.8580000000000001,2.595,0.0664183736809435,0.9380000000000002,2.35,0.0606989672030456,0.8410000000000002,2.4991461456102786,0.9220000000000004,2.293820907617504
228.0_0.5,9.05162369833516,6.329880110667374,10.363203972223925,23.172828546588537,7.247079738703074,16.204962934101488,0.5700000000000001,3.165,0.0609169953712689,0.82,2.623,0.0366320393657736,0.5380000000000001,2.702994966442953,0.8019999999999998,2.5365941951566957
