label,rmsAW_u,rmsAW_g,rmsAW_r,rmsAW_i,rmsTHELI_u,rmsExpo_u,rmsTHELI_g,rmsExpo_g,rmsTHELI_r,rmsExpo_r,rmsTHELI_i,rmsExpo_i,FileSeeing_u,seeing_e_u,FileSeeing_g,seeing_e_g,FileSeeing_r,seeing_e_r,FileSeeing_i,seeing_e_i,MeasSeeing_u,MeasBeta_u,MeasSeeing_g,MeasBeta_g,MeasSeeing_r,MeasBeta_r,MeasSeeing_i,MeasBeta_i,InputSeeing_u,InputBeta_u,InputSeeing_g,InputBeta_g,InputSeeing_r,InputBeta_r,InputSeeing_i,InputBeta_i,HeaderSeeing_Z,MeasSeeing_Z,rms_Z,HeaderSeeing_Y,MeasSeeing_Y,rms_Y,HeaderSeeing_J,MeasSeeing_J,rms_J,HeaderSeeing_H,MeasSeeing_H,rms_H,HeaderSeeing_Ks,MeasSeeing_Ks,rms_Ks,MeasBeta_Z,MeasBeta_Y,MeasBeta_J,MeasBeta_H,MeasBeta_Ks,InputSeeing_Z,InputBeta_Z,InputSeeing_Y,InputBeta_Y,InputSeeing_J,InputBeta_J,InputSeeing_H,InputBeta_H,InputSeeing_Ks,InputBeta_Ks,rmsExpo_Z,rmsExpo_Y,rmsExpo_J,rmsExpo_H,rmsExpo_Ks,seeing_e_r_expo0,seeing_e_r_expo1,seeing_e_r_expo2,seeing_e_r_expo3,seeing_e_r_expo4
10.6_-32.1,5.670036066682101,2.297167934799962,2.0958188745797126,9.926787015536986,6.491624292744335,12.98324858548867,2.6300275685524754,5.8809204259818255,2.3995030295063122,5.3654518861927984,11.365178454088287,25.41331159975739,1.265,0.03,0.89,0.039,0.522,0.049,0.718,0.043,1.1590716,2.316048,0.8247974000000001,2.040618,0.5320441999999999,2.775052,0.6918418000000001,2.689833,1.1461431999999998,2.2868511687104798,0.8035948000000002,1.971724662787392,0.4930883999999998,2.2984567238584437,0.6696836000000002,2.5190173468364425,0.9346782831865368,1.0368432256815492,25.7415900905801,0.9663382603230912,0.9929971587416644,53.23368984138885,0.9966990444429416,1.0148635042681506,47.64771474186277,1.0417087505880809,1.0815431436864258,77.2264250735107,0.982160792020631,1.085088310777047,89.31525646553696,2.7049746307909293,2.7856995009057712,2.7423385376030054,2.6444495934124745,2.6403947142470363,0.9992864513630983,2.566293912375535,0.9523943174833288,2.6132631262186385,0.9757270085363012,2.594932567631678,1.0444862873728515,2.507277191758745,1.044776621554094,2.5036017122052554,25.7415900905801,53.23368984138885,47.64771474186277,77.2264250735107,89.31525646553696,0.041877529165443635,0.04172654226474737,0.05327017098320819,0.05436088071214773,0.04508339911741743
10.7_-33.1,5.1243546034644005,2.6892441116067958,2.1655692708895917,10.31398760647666,5.866873585506389,11.733747171012778,3.0789155833786195,6.884664541418015,2.4793602582414933,5.5440180781394135,11.808484410655124,26.404573853471398,1.15,0.039,1.003,0.037000000000000005,0.605,0.056,0.6729999999999999,0.055,1.060825,2.25501,0.9254943999999999,2.161394,0.5796102,2.915883,0.6457338,3.3038220000000003,1.0476499999999995,2.215457900975186,0.9089887999999998,2.104006327855092,0.5472203999999998,2.5432261200010107,0.6214675999999999,2.9852563624157082,1.046377509916772,1.0993214679261814,18.91341204854573,1.029001893416587,1.0749893918750122,37.20059527362851,1.039213774609048,1.0643295278749678,44.44414082586264,0.9714979706866179,1.0424440760431746,107.4928184225978,0.9130950201428532,0.9814876641021678,109.78908644886131,2.6250609421306628,2.6522077734365195,2.6655909190315987,2.6963326275563984,2.8113787812646494,1.0630429358523628,2.5047606205447464,1.0364787837500242,2.506818340507505,1.0270590557499355,2.5256092662265752,1.0036881520863492,2.5452367773395186,0.9395753282043356,2.6369640665361938,18.91341204854573,37.20059527362851,44.44414082586264,107.4928184225978,109.78908644886131,0.09849376366802676,0.049373773150586775,0.061207209513829186,0.06939610715058175,0.08133766068437343
9.5_-33.1,6.3465573879890425,1.902675994001448,1.966827701893527,6.616154639611423,7.2661735535086525,14.532347107017305,2.178373745532257,4.870991775410956,2.251821035897898,5.0352249094316965,7.574835446891114,16.937846977623533,1.119,0.034,0.873,0.038,0.596,0.045,0.604,0.052000000000000005,1.0309514000000002,2.2368900000000003,0.8078272000000001,1.987769,0.6001082000000001,2.862144,0.5817932,3.333546,1.0149028000000002,2.191223915252712,0.7876544000000002,1.9204317637254125,0.5702164000000002,2.536331928709588,0.5515863999999999,2.8682693208755023,1.0282868955877142,1.0821763299595817,21.354489003112594,0.9829538530391444,1.0072154879361688,45.85259705410617,1.034065758943167,1.0702447482185236,45.08718449809489,1.0735832442563629,1.1525267284548275,84.4100089865561,1.0150088156053936,1.090368783491012,104.413264377072,2.643718192344865,2.7567487503442725,2.6580444315245377,2.5791347235938487,2.6345329328884293,1.0457526599191629,2.5059625359737856,0.9672309758723374,2.589958375873441,1.032089496437047,2.5232930620278924,1.1150534569096553,2.466957302833376,1.0519375669820241,2.5080096820387667,21.354489003112594,45.85259705410617,45.08718449809489,84.4100089865561,104.413264377072,0.04753380480445701,0.03590016251119177,0.03262033139845544,0.04577380117065577,0.03342378577687255
12.8_-31.2,5.550730124517667,1.9010752226863032,2.5689855981453857,7.895464783446282,6.355030919560274,12.710061839120549,2.176541022453548,4.866893682023028,2.9412316113166512,6.576793820475272,9.039517630567644,20.212975905757087,1.141,0.031,0.867,0.043,0.882,0.041,0.901,0.056,1.0654,2.3895,0.8256982000000002,2.104506,0.8402718000000001,2.250872,0.8585818000000001,3.0878330000000003,1.0527999999999995,2.3607108433734942,0.8053964000000002,2.033195918128686,0.8225436000000002,2.1773785795439453,0.8421636000000001,2.982394500035757,0.8008679950756672,0.9013062802836866,17.14628373958112,0.755635018105205,0.9101688544810288,33.59893185669959,0.7130955653190875,0.8126999171322663,37.692633508828564,0.6860752705964567,0.8362966412845604,86.49881085574638,0.7663320396882078,0.9269371052626552,102.72414294093085,3.06525976427458,3.02912090976372,3.610604565660181,3.4243615785992003,2.9670889615636686,0.8574125605673732,2.8312053477962587,0.8683377089620576,2.806938765907246,0.7685998342645325,3.2842330395298083,0.7919932825691207,3.136431721811208,0.8848742105253102,2.74701200459442,17.14628373958112,33.59893185669959,37.692633508828564,86.49881085574638,102.72414294093085,0.061970313230249714,0.03230784058994629,0.03492871565869782,0.024573724072637467,0.02889303193453385
11.5_-30.2,5.597094063957084,1.99557730356152,2.022928827482925,15.163652180265546,6.4081129938244645,12.816225987648927,2.284736454847584,5.108826023711076,2.3160512145852,5.1788479551834605,17.36086538118601,38.82007514055473,1.185,0.031,0.687,0.042,0.957,0.058,0.935,0.042,1.1055586000000002,2.380818,0.6506831999999999,2.178995,0.9063094,2.149543,0.888152,2.674318,1.0911172000000005,2.3386821721412767,0.6213663999999998,2.00929796726469,0.8886188,2.0936519261445747,0.8703040000000001,2.5841551392378928,0.8505857493295274,0.9187581481517774,18.409159461624352,0.8528554782998853,0.8951731943028269,33.05388809324276,0.9191985487192084,0.9619434416766438,33.884384701665645,0.9915910849174108,1.09165034729886,57.1033877160085,0.8968907763537443,0.9787765944325056,84.3384949357358,2.996360671695548,3.0917570589971586,2.8601670418063803,2.633141620856398,2.8177420892258564,0.8753162963035547,2.77616199518562,0.8519463886056539,2.863177545481323,0.9208868833532876,2.6670004759561823,1.0545006945977198,2.5034538933250747,0.9375531888650112,2.6313902746149096,18.409159461624352,33.05388809324276,33.884384701665645,57.1033877160085,84.3384949357358,0.021689225997265082,0.034689280891795786,0.03685890844902906,0.029064110454794963,0.03841513464412183
9.2_-30.2,5.573076237632722,1.914488712349752,2.778900736085568,6.098776029517919,6.3806149844657005,12.761229968931401,2.1918981267692303,4.9012332112104495,3.1815634527443657,7.114192155065342,6.982488676195063,15.61331933209468,0.937,0.035,0.8859999999999999,0.036000000000000004,0.665,0.046,0.5870000000000001,0.047,0.8542894000000001,2.042066,0.8170378,1.990662,0.6372914000000001,2.431249,0.5800219999999999,3.256989,0.8365788000000001,1.977053115316649,0.7980756000000001,1.9311133829364984,0.6085828000000001,2.2223467492644984,0.5500439999999999,2.808466845576129,0.9118042382342976,0.9913346885917252,18.12088083668798,0.907405296175015,0.9673808963000996,37.38273054651904,0.7640936601097896,0.8263940409344509,35.663216952731396,0.7654960398979294,0.9090627983982996,65.68088921661605,0.7323375905677144,0.8414679794501594,92.13770088867935,2.789279485280609,2.8458929739832355,3.4979514518328294,3.033497808127268,3.388312386176416,0.9490693771834504,2.6218899072649955,0.9266617926001992,2.6628181070659513,0.7823880818689017,3.1877721343738776,0.8661255967965993,2.8221969433828304,0.7989359589003187,3.1119811676698066,18.12088083668798,37.38273054651904,35.663216952731396,65.68088921661605,92.13770088867935,0.04036854706430848,0.025940650014215968,0.02481677484399536,0.022225816870750648,0.01998896969515196
9.1_-29.2,5.352423755825009,1.929370748350262,2.5000782368591405,7.000446556716929,6.127989958044051,12.2559799160881,2.2089365697862138,4.9393323280271835,2.8623395733800288,6.400385860765492,8.014811262785209,17.921662810418656,1.0490000000000002,0.044,0.805,0.046,0.7859999999999999,0.04,1.04,0.078,0.9674948,2.145347,0.7463728000000001,2.07181,0.7469224000000001,2.419426,0.9462136,2.509603,0.9529896000000001,2.091536014606936,0.7227456000000001,1.9804555604945009,0.7258448000000002,2.2995400108133306,0.9324272,2.4429456190902714,0.9585853754362432,1.0668836752337745,14.878452927542481,0.9414158608857384,1.001176210290043,29.406622809295463,0.7990138595590407,0.8819057835591168,32.664207452620204,0.8407033976540581,0.921426134559582,64.54113995608519,0.7898508859850608,0.9363773457085504,72.39339952497144,2.662294940578678,2.768690173707753,3.1536098820841287,2.9866126137330298,2.9354679261175733,1.0287673504675492,2.511385657252128,0.961952420580086,2.5979127384773846,0.8390115671182333,2.9217070167235693,0.878952269119164,2.7710806507122245,0.8935546914171006,2.7339927018680714,14.878452927542481,29.406622809295463,32.664207452620204,64.54113995608519,72.39339952497144,0.02453020846673426,0.03155566655656894,0.02608873318777694,0.01994426778711711,0.0325473294988744
11.4_-29.2,5.658518895239787,1.968441306713108,2.473393241349888,8.649973967707831,6.478438283160031,12.956876566320062,2.2536684520558365,5.039355857543576,2.8317879220214857,6.332070291502916,9.903355195628693,22.14457542275149,1.023,0.05,0.888,0.039,0.772,0.078,0.591,0.065,0.9452308,2.239319,0.8281224,2.215358,0.7225864000000001,2.142973,0.5881352,3.17637,0.9284616,2.1982052410631834,0.8082448,2.130292179000034,0.6991728000000001,2.0370628535756743,0.5582703999999999,2.7669465257510577,0.9218653604315582,0.970104579009989,22.88417782887744,0.8264590348010139,0.8926510050573577,47.809084242381154,0.8239631890326563,0.8913533815376797,43.86382286103281,0.8356631013484285,0.8909300087783292,77.24441220396034,0.8355091896652309,0.9240238453460388,95.96453802006191,2.83895212384186,3.103025918439169,3.1089105647549347,3.1108434890597354,2.9773085438150435,0.930409158019978,2.662846951433972,0.8503020101147154,2.8829342627634693,0.8477067630753594,2.8705077737569167,0.8468600175566583,2.87668521108508,0.8824476906920775,2.7631155455361927,22.88417782887744,47.809084242381154,43.86382286103281,77.24441220396034,95.96453802006191,0.09135409170261044,0.08427257362163497,0.08660101220719862,0.07214046523376183,0.09843311877802097
9.4_-32.1,5.917806435864281,1.884806443958661,2.3902562706508745,6.179755853516222,6.775296588421012,13.550593176842025,2.1579148976882703,4.825244400890477,2.7366044042681854,6.1192334754689774,7.0752024766907216,15.820633692455326,1.002,0.035,0.763,0.04,0.716,0.044,0.581,0.05,0.9278618,2.289402,0.7122514,2.076134,0.682397,2.431106,0.5680246000000001,3.264327,0.9117236,2.2432434865388045,0.6885027999999999,1.9706897453162584,0.656794,2.26017969566905,0.5360492000000001,2.7753278845136737,0.9612026232952326,1.0114846698173063,18.74696253084787,1.2239546040279066,1.1225911376180542,25.903190788880444,1.0000425195519351,1.0291742681709553,31.19925102499643,0.9806390276515596,1.0182583844622963,49.72185544707535,0.9730797924266832,1.0515554030133685,63.45790299348039,2.74860929396608,2.602953962292212,2.7173659440482805,2.736186120011644,2.6829696613602856,0.9723693396346128,2.5899311589962744,1.0857822752361082,2.475292166574332,0.9907485363419104,2.5725169734262163,0.9791167689245924,2.580785948922826,1.0117108060267368,2.5380030491491334,18.74696253084787,25.903190788880444,31.19925102499643,49.72185544707535,63.45790299348039,0.022511288533859086,0.023437610347772142,0.04267199363661711,0.023502373184159486,0.021509568276006696
8.1_-30.2,5.088727361668608,1.9428165272893072,1.9572996348289957,7.1809241254011615,5.826083956374387,11.652167912748775,2.224330642093527,4.973754520156882,2.2409123519157164,5.010832350502472,8.221440031171786,18.383698782638106,0.955,0.05,1.44,0.036000000000000004,0.698,0.053,1.12,0.043,0.8813180000000002,1.986602,1.3171644000000002,2.15502,0.6568298,2.19751,1.0404356,2.484119,0.8626360000000003,1.9350284203764632,1.3043288000000004,2.1310838074755667,0.6296596,2.039543820548687,1.0248711999999998,2.4224589149238245,0.8514543945672478,1.0040398083836677,18.815715436805526,0.8531019889378247,0.9275788622191542,41.533926102578896,0.8210416087877356,0.9107956995620436,35.11024890108734,0.8268865261084509,0.8970106058952477,63.920505213775904,0.869315163363495,0.9900643462948636,104.17914695529707,2.762964403939284,2.964867682965705,3.0266567596567637,3.0836859658463567,2.792043806980239,0.9642796167673352,2.5905234156577417,0.8861577244383083,2.7534147600257746,0.8695913991240873,2.8140608724500136,0.8539212117904954,2.8587809343037685,0.9499286925897272,2.6221332662723134,18.815715436805526,41.533926102578896,35.11024890108734,63.920505213775904,104.17914695529707,0.10010856644613343,0.05460083362221868,0.02267748482488019,0.03591735029042953,0.02562848152220787
