label,rmsAW_u,rmsAW_g,rmsAW_r,rmsAW_i,rmsTHELI_u,rmsExpo_u,rmsTHELI_g,rmsExpo_g,rmsTHELI_r,rmsExpo_r,rmsTHELI_i,rmsExpo_i,FileSeeing_u,seeing_e_u,FileSeeing_g,seeing_e_g,FileSeeing_r,seeing_e_r,FileSeeing_i,seeing_e_i,MeasSeeing_u,MeasBeta_u,MeasSeeing_g,MeasBeta_g,MeasSeeing_r,MeasBeta_r,MeasSeeing_i,MeasBeta_i,InputSeeing_u,InputBeta_u,InputSeeing_g,InputBeta_g,InputSeeing_r,InputBeta_r,InputSeeing_i,InputBeta_i,HeaderSeeing_Z,MeasSeeing_Z,rms_Z,HeaderSeeing_Y,MeasSeeing_Y,rms_Y,HeaderSeeing_J,MeasSeeing_J,rms_J,HeaderSeeing_H,MeasSeeing_H,rms_H,HeaderSeeing_Ks,MeasSeeing_Ks,rms_Ks,MeasBeta_Z,MeasBeta_Y,MeasBeta_J,MeasBeta_H,MeasBeta_Ks,InputSeeing_Z,InputBeta_Z,InputSeeing_Y,InputBeta_Y,InputSeeing_J,InputBeta_J,InputSeeing_H,InputBeta_H,InputSeeing_Ks,InputBeta_Ks,rmsExpo_Z,rmsExpo_Y,rmsExpo_J,rmsExpo_H,rmsExpo_Ks,seeing_e_r_expo0,seeing_e_r_expo1,seeing_e_r_expo2,seeing_e_r_expo3,seeing_e_r_expo4
133.0_-1.5,4.925874329034339,2.4541637706391164,2.5570539069702254,8.411945765060704,5.639633519311412,11.279267038622825,2.8097721010047234,6.282841419128967,2.92757101809021,6.546247805407977,9.630836706417996,21.535205555750828,0.95,0.043,0.909,0.039,0.634,0.045,0.639,0.049,0.8770546000000001,2.196552,0.8410470000000001,2.185725,0.6037140000000001,2.508661,0.597318,2.532304,0.8581092000000001,2.132562871283733,0.8220940000000002,2.121907696201441,0.5714279999999999,2.240958138661334,0.5646359999999999,2.261676499737945,0.8678824511537363,0.8810959851344534,20.33960751028216,0.8370011153239372,0.8515418768863979,41.882818990144564,0.7954371929674573,0.8356346857812006,45.3912091386289,0.8903845844433564,0.9300396978891556,90.3062856787686,0.8301659017052233,0.8956406223127735,116.70915538521223,3.1575984595598565,3.3224030549786034,3.429090348123496,2.95644874152975,3.089692860569856,0.8373919702689067,2.9191261511150874,0.8088837537727959,3.0543722882860616,0.7906693715624011,3.1347042601741526,0.8876793957783112,2.7540174478178407,0.8528812446255469,2.860363778432535,20.33960751028216,41.882818990144564,45.3912091386289,90.3062856787686,116.70915538521223,0.027819108361852862,0.02020943089808436,0.02997021287381452,0.029482304457979506,0.019922019974967342
134.0_-0.5,4.858348977488523,2.0321883662124995,2.518738642503734,10.342407579439426,5.5623237443266085,11.124647488653217,2.32665246047669,5.202553061643021,2.883703871802524,6.448157884329783,11.841022437700195,26.477331093797908,1.071,0.048,0.81,0.058,0.94,0.037000000000000005,0.614,0.05,0.994152,2.412568,0.7446204000000001,2.081734,0.8840802000000001,2.233756,0.6181626000000001,3.5183160000000004,0.9803040000000001,2.3871817392405226,0.7212408000000001,1.983258277641648,0.8661604000000002,2.1637002866680883,0.5923252000000001,3.1210290867307844,0.8602392451227359,0.8776052697368143,17.959558817318875,0.8209903977851641,0.8384087636294111,37.500691846724614,0.8233271993490889,0.8821666427111532,37.76890565501475,1.0572626743372444,1.157504179283739,71.6299872422202,0.8771278559049764,0.9992771116461244,81.58246301276105,3.1750877945479106,3.409448547675371,3.152330481369905,2.5756139805707376,2.7725519836245143,0.8338105394736285,2.9317330343462618,0.792817527258822,3.1016952682416625,0.8395332854223062,2.905139012538281,1.121608358567478,2.4580405666997827,0.9581542232922488,2.6035635705836064,17.959558817318875,37.500691846724614,37.76890565501475,71.6299872422202,81.58246301276105,0.013208430754126477,0.011413238779203971,0.023664436498468718,0.012603504156037726,0.012253061495906548
133.0_1.5,5.313721761210682,2.2778263336880737,2.570852570489981,6.0445909977459475,6.083680044410107,12.167360088820214,2.6078833694394747,5.831404491457863,2.9433691079539783,6.581573408258013,6.920452233319333,15.474601628742265,0.8490000000000001,0.037000000000000005,0.916,0.043,0.657,0.044,0.89,0.043,0.7798384,2.022026,0.8713900000000001,2.300473,0.6248241999999999,2.51025,0.8354316000000002,2.549873,0.7576768,1.9402487874856704,0.8527800000000001,2.226526494726314,0.5956483999999999,2.2774913604283284,0.8188632000000003,2.457036875024317,0.9518155994588132,0.9620374956087492,18.008109763257178,0.9337798068803238,0.9392914455357988,37.0042557631834,0.8831509157099725,0.9067099369314352,45.21554987853418,1.011113791987828,1.0399162661666694,96.8171173350082,0.9501059758757902,1.0112316196892015,108.04195313762756,2.8599153039881537,2.926148911723613,3.0429329909770537,2.700191506887509,2.749084954266146,0.9210749912174984,2.6691857778464403,0.8959828910715975,2.7275050569636496,0.8648198738628703,2.821925330126838,1.0020325323333388,2.555700240380454,0.971863239378403,2.5872629741376016,18.008109763257178,37.0042557631834,45.21554987853418,96.8171173350082,108.04195313762756,0.029665694176316263,0.0358921462024534,0.03263740439085039,0.029941200871533732,0.02489185539773864
135.0_-0.5,5.210000183973542,2.121101593351664,2.2109422567058807,11.61020319739877,5.964929210631306,11.929858421262612,2.4284492142283196,5.430177522920473,2.531307789702562,5.660176289749671,13.292521640701844,29.72298198099637,1.125,0.032,0.774,0.044,0.659,0.05,1.051,0.042,1.0445078,2.410592,0.7165060000000001,2.226634,0.6280821999999999,2.741803,0.9919396,2.52681,1.0300155999999998,2.361747060190861,0.6930120000000001,2.105545314417504,0.6001643999999998,2.4845377841648952,0.9758792,2.45941741876749,0.8714075635289386,0.8924588257286448,14.694955982882032,0.8640772377054208,0.8737493801445769,33.05176909480344,0.8880402252343382,0.9089629534041416,37.69079241223678,0.9918791727720974,1.0089640894281102,72.63015134256601,0.9647379847854816,0.9843413518317814,84.67639289107048,3.1038936807826567,3.1949798580364703,3.0338947444450204,2.7533852933449148,2.8048132326541637,0.8499176514572895,2.8767370329504147,0.8294987602891537,2.9459498988987733,0.8659259068082832,2.8082276039195198,0.9707281788562204,2.59450006713456,0.9452827036635628,2.624295534030059,14.694955982882032,33.05176909480344,37.69079241223678,72.63015134256601,84.67639289107048,0.05533471936628687,0.04520717037596933,0.06009445413682146,0.045025359163713315,0.05141048481555044
136.0_-1.5,4.954431809294068,2.3853651244148835,3.1674117497522785,13.282988967370624,5.672328978460777,11.344657956921553,2.731004530942599,6.10671177804758,3.6263697122913823,8.108809188229886,15.207694068742626,34.005437718728864,1.031,0.038,1.047,0.046,0.642,0.046,1.04,0.044,0.9552956,2.2324740000000003,0.9779101999999998,2.465274,0.614649,2.556613,0.994814,2.469793,0.9385912,2.177315344603381,0.9638204,2.4033260278627253,0.5852979999999999,2.298518861442592,0.981628,2.4169484560734857,0.8869418224127203,0.89979289460915,18.68105477435344,0.8405985002658403,0.8555249665770094,42.550852958563425,0.7786101843861852,0.8290860146944182,47.12502233291782,0.7091244312714396,0.7907934319660886,102.23108552703863,0.6667849630831897,0.7255957086444473,99.27361278987114,3.0716815384384133,3.2978207054004947,3.477328550301116,3.8216543244365315,4.7830919843095865,0.8577857892183,2.845445621519419,0.8100499331540187,3.03462958065899,0.7843720293888364,3.1799945428175618,0.7451868639321773,3.4627898428066035,0.6793914172888946,4.0,18.68105477435344,42.550852958563425,47.12502233291782,102.23108552703863,99.27361278987114,0.04055779276720151,0.040362688889685416,0.023822015371720132,0.07710461858539898,0.05659187739709804
136.0_1.5,5.107814117637413,2.2781232102774456,2.0839348596066563,11.585148234778936,5.847936383283073,11.695872766566145,2.6082232634466465,5.8321645175630445,2.38589702076366,5.335027925741771,13.2638362139984,29.658839416923872,1.164,0.045,0.73,0.045,0.8059999999999999,0.042,0.7859999999999999,0.046,1.069293,2.247389,0.6780774000000002,2.179821,0.7599784,2.290175,0.73611,2.600402,1.054586,2.2026344257973665,0.6521548000000003,2.039406837400522,0.7389568000000001,2.1858148383320275,0.7142200000000001,2.4731169878699695,0.8263913913779636,0.8557386438818911,18.614609275755946,0.8136458254871559,0.8330402768371189,37.562758862046216,0.8323612106234731,0.8798926524699703,47.426259904919775,0.8281699388180024,0.9544995889177512,117.2550103056262,0.8270574723264943,0.9430537162821612,113.7525659788238,3.296524543047158,3.4478810566866325,3.1635728083762684,2.8806494958700846,2.914412293815976,0.8104772877637823,3.03102622843849,0.7888805536742377,3.1565198233062617,0.8383853049399405,2.9082789255176142,0.9127991778355024,2.687284079054036,0.9001074325643224,2.7198161574526334,18.614609275755946,37.562758862046216,47.426259904919775,117.2550103056262,113.7525659788238,0.02388170576476001,0.01769824479623483,0.015958660324178475,0.028338172949808338,0.011362821276622248
133.0_0.5,5.331407890239972,2.4110215029011317,2.405729897598726,9.934135604890137,6.103928893535743,12.207857787071486,2.7603785186715046,6.172394011379657,2.7543201597607805,6.158847109023188,11.373591854038715,25.432124533968434,1.055,0.032,0.802,0.048,0.515,0.05,0.8740000000000001,0.04,0.9809286,2.3271,0.740644,1.886532,0.5092784,3.092682,0.8259411999999999,2.549803,0.9658572,2.291804179340806,0.7172879999999999,1.7986031133379607,0.4675568000000001,2.437850596664851,0.8078823999999999,2.4625206846639096,0.8482101401498933,0.8667328481479329,18.703884636799028,0.8519956370885071,0.8656990989201824,37.585909423902024,0.8930252298459187,0.9377822748728656,41.76538895439333,1.0125925714448196,1.059070956704895,81.78656163570804,0.9366315874840492,0.9995689607014182,98.19216794287493,3.2327910248337166,3.2385444406050437,2.9309498474273004,2.672561024752962,2.771955122830184,0.8222656962958658,2.984244480651709,0.8235981978403647,2.989395260402798,0.8963645497457311,2.7317396635817603,1.01994191340979,2.523371640000581,0.9587379214028364,2.609874559331256,18.703884636799028,37.585909423902024,41.76538895439333,81.78656163570804,98.19216794287493,0.045720410091501074,0.035104674483425136,0.039558140871266745,0.038803342754582186,0.053092996983005736
134.0_0.5,5.518837033807089,2.456257882095805,2.3753542161599657,10.09438351697924,6.318516520005734,12.637033040011469,2.8121696492114863,6.288202499898621,2.719543042081544,6.081083109830903,11.557059688589527,25.84237108370873,1.165,0.034,0.635,0.046,0.799,0.049,0.8320000000000001,0.047,1.0871728,2.500628,0.6020302000000001,2.358043,0.7569317999999999,2.516947,0.7954624000000001,2.444646,1.0723456,2.462928082526493,0.5700604000000001,2.11796907503216,0.7358635999999998,2.400720366686104,0.7769248000000002,2.348500295851967,0.8665762163118211,0.8931399456127941,18.610232255077978,0.8139912172658077,0.8335621713411132,39.24078713384896,0.8625608725226321,0.9011834889832436,42.91792424726965,0.9200752129172276,0.9450018466030962,83.80799214482819,0.8730457996989531,0.9349955177645564,100.95036075055738,3.1008240289973346,3.4440678638906297,3.0657780084609074,2.908462443640245,2.939958124433628,0.8512798912255881,2.855331993143236,0.7899243426822263,3.154618218487687,0.8571669779664872,2.8382244556625005,0.9040036932061924,2.7124580963141707,0.8941910355291126,2.7369458847786365,18.610232255077978,39.24078713384896,42.91792424726965,83.80799214482819,100.95036075055738,0.045359854200967664,0.09480489741908504,0.038877963755850516,0.041900618708200166,0.04040709378628416
136.0_-0.5,5.524068120287721,2.705858826310948,2.435128889388145,4.2363893881901316,6.3245055909174095,12.649011181834819,3.0979377702434028,6.927199444328374,2.7879790654604863,6.234110710215982,4.850242210538879,10.845471290103784,1.119,0.029,0.789,0.048,0.725,0.045,0.986,0.045,1.0388268,2.267608,0.725967,2.311408,0.6792492000000001,2.272876,0.9211138,2.430486,1.0236536,2.22860547302154,0.7019340000000001,2.1892533846734805,0.6544984000000001,2.1290819538192647,0.9042275999999998,2.3540959609240595,1.0804219601165868,1.0832607269947971,17.40135499116166,0.8143712649654177,0.8320161682090828,41.30994861237554,0.8368002778991124,0.8837222867514094,41.44924632036713,0.8235177913344736,0.8741168096764187,72.27380922237559,0.7678805250816552,0.8316153415079088,75.71116360992303,2.6424728743475168,3.4554128844340517,3.14475526325408,3.193057839358373,3.458378650478363,1.0445214539895942,2.5017265214569124,0.7868323364181654,3.161551570288748,0.8392445735028188,2.905104495682622,0.8302336193528372,2.950549503590416,0.7860306830158176,3.1565716460126514,17.40135499116166,41.30994861237554,41.44924632036713,72.27380922237559,75.71116360992303,0.04251316879690825,0.04550245791845131,0.04250631567964491,,
136.0_0.5,5.336027090398755,2.077405126793234,2.1306461814783804,6.518423099405334,6.1092174157975325,12.218434831595065,2.3784211296655724,5.3183113250540615,2.4393768131745968,5.454612376995203,7.462942606509165,16.68764698033396,0.92,0.036000000000000004,0.972,0.046,0.667,0.044,0.816,0.068,0.8518138000000001,2.168339,0.8896820000000001,2.052519,0.6372901999999999,2.470308,0.7547470000000001,3.072687,0.8326276000000001,2.0941305765745093,0.8733639999999999,2.008051985079337,0.6085803999999998,2.260877270655248,0.7354940000000001,2.908117209623188,0.9425179540844396,0.9556646567114552,20.05974517867612,0.7745401824508013,0.8153849674723214,35.93157857873828,0.7674060829462993,0.8137095402254814,41.57281062804263,0.7671353184518107,0.8314035847573567,100.7112706598467,0.7490109296889615,0.8044595437755843,96.09056599079115,2.8773695841346223,3.5874470974224866,3.60183306377424,3.4599495475031072,3.68518956326316,0.9151293134229104,2.680090089084984,0.7705699349446428,3.266388711915172,0.7706190804509626,3.27441828764062,0.7873071695147132,3.161925297711868,0.7589190875511684,3.3370037480998977,20.05974517867612,35.93157857873828,41.57281062804263,100.7112706598467,96.09056599079115,0.02156166789264069,0.05306497759643858,0.02359082702887294,0.02322922512235248,0.024794390601738714
