binZB_id,binSNR_id,binR_id,binZB_min,binZB_max,binSNR_min,binSNR_max,binR_min,binR_max,m1_raw,m1_raw_err,m2_raw,m2_raw_err,c1,c1_err,c2,c2_err,WeiTot,WeiBlend,var_dm1,var_dm2,var_dm1_err,var_dm2_err,PSFmodelling_dm1,PSFmodelling_dm2,PSFmodelling_dm1_err,PSFmodelling_dm2_err,m1_final,m1_final_err,m2_final,m2_final_err
0,0,17,0.100000,0.200000,0.000000,17.540001,0.767437,0.802964,0.365177,0.283915,0.282029,0.271576,0.007167,0.008035,0.006053,0.007686,21875.973360,7238.252805,0.666426,-0.077124,1.505440,1.506316,0.001524,0.003577,0.001789,0.001845,0.587206,0.573350,0.260087,0.567595
0,0,18,0.100000,0.200000,0.000000,17.540001,0.802964,0.844095,0.505063,0.271490,0.190962,0.273427,0.000871,0.007683,-0.006730,0.007738,21890.952314,7201.617252,-0.414479,0.474292,1.472507,1.431603,0.001524,0.003577,0.001789,0.001845,0.370233,0.555314,0.350570,0.544585
0,0,19,0.100000,0.200000,0.000000,17.540001,0.844095,999.000000,0.127856,0.262693,0.269859,0.262981,-0.002148,0.007434,-0.016890,0.007442,21885.371457,7432.001187,-0.245935,-0.303290,1.447241,1.482565,0.001524,0.003577,0.001789,0.001845,0.045864,0.557269,0.170442,0.568010
0,1,0,0.100000,0.200000,17.540001,21.270000,0.000000,0.233371,0.071475,0.184005,-0.271781,0.190034,-0.000928,0.005207,0.004491,0.005378,21718.941426,7372.286484,0.273076,0.170580,1.412968,1.525871,0.001524,0.003577,0.001789,0.001845,0.165692,0.513707,-0.210302,0.551707
0,1,1,0.100000,0.200000,17.540001,21.270000,0.233371,0.288104,-0.151154,0.204649,-0.195946,0.191907,-0.000520,0.005792,-0.001921,0.005431,21847.669694,7276.379694,-0.044263,1.635940,1.606267,1.532110,0.001524,0.003577,0.001789,0.001845,-0.164372,0.572779,0.352482,0.545167
0,1,2,0.100000,0.200000,17.540001,21.270000,0.288104,0.331931,-0.051089,0.206261,-0.432336,0.209908,0.006889,0.005837,-0.002221,0.005940,21778.842585,7310.827432,-0.215858,-0.536476,1.704850,1.595367,0.001524,0.003577,0.001789,0.001845,-0.122025,0.608330,-0.608846,0.575212
0,1,3,0.100000,0.200000,17.540001,21.270000,0.331931,0.368980,-0.346130,0.212589,0.100106,0.217942,0.001823,0.006016,0.006144,0.006168,21811.576580,7516.094103,0.835980,-0.273395,1.802971,1.753412,0.001524,0.003577,0.001789,0.001845,-0.056534,0.656656,0.009473,0.642319
0,1,4,0.100000,0.200000,17.540001,21.270000,0.368980,0.402294,0.125807,0.215770,0.034905,0.231908,-0.003987,0.006106,0.003669,0.006563,21802.927619,7145.560975,-2.065311,-1.174707,1.703954,1.678109,0.001524,0.003577,0.001789,0.001845,-0.549542,0.598681,-0.346509,0.596871
0,1,5,0.100000,0.200000,17.540001,21.270000,0.402294,0.433068,-0.026902,0.227699,-0.040707,0.226652,-0.000109,0.006444,-0.008227,0.006414,21828.191008,7452.236267,-1.252642,0.958783,1.721728,1.812389,0.001524,0.003577,0.001789,0.001845,-0.453035,0.630369,0.290203,0.658965
0,1,6,0.100000,0.200000,17.540001,21.270000,0.433068,0.463183,0.032899,0.229988,-0.288147,0.230326,-0.004696,0.006509,-0.008506,0.006518,21784.793905,7317.149402,-0.293263,-0.353833,1.875815,1.842875,0.001524,0.003577,0.001789,0.001845,-0.064079,0.670721,-0.403417,0.660457
0,1,7,0.100000,0.200000,17.540001,21.270000,0.463183,0.492834,-0.111778,0.225619,-0.296850,0.233539,0.000063,0.006385,-0.008862,0.006609,21820.722043,7710.627797,1.704989,1.092595,1.849809,1.785074,0.001524,0.003577,0.001789,0.001845,0.492225,0.691498,0.092809,0.672626
0,1,8,0.100000,0.200000,17.540001,21.270000,0.492834,0.521404,0.393990,0.253847,0.163070,0.250996,0.003482,0.007184,0.003287,0.007103,21808.642974,7322.199258,0.299412,-0.305129,1.798082,1.819678,0.001524,0.003577,0.001789,0.001845,0.496041,0.654902,0.064201,0.660504
0,1,9,0.100000,0.200000,17.540001,21.270000,0.521404,0.549319,0.163161,0.243363,-0.329887,0.250140,-0.016958,0.006887,0.007955,0.007079,21774.498726,7603.198808,-0.269616,0.740690,1.791582,1.866642,0.001524,0.003577,0.001789,0.001845,0.070541,0.671255,-0.067677,0.698145
0,1,10,0.100000,0.200000,17.540001,21.270000,0.549319,0.577078,0.013836,0.244759,0.133695,0.254106,0.007007,0.006927,0.004104,0.007191,21762.611445,7521.960876,-0.430765,-0.024543,1.887308,1.796532,0.001524,0.003577,0.001789,0.001845,-0.133528,0.696732,0.128789,0.670932
0,1,11,0.100000,0.200000,17.540001,21.270000,0.577078,0.605504,-0.160958,0.247502,-0.041082,0.247471,0.004820,0.007004,-0.004072,0.007003,21832.064769,7304.602689,-0.130960,2.241925,1.831277,1.970962,0.001524,0.003577,0.001789,0.001845,-0.203251,0.660814,0.712601,0.704355
0,1,12,0.100000,0.200000,17.540001,21.270000,0.605504,0.634521,0.237797,0.245119,0.195849,0.255853,0.001537,0.006937,-0.006837,0.007241,21787.313374,7653.073937,-0.224302,0.362730,1.830025,1.733669,0.001524,0.003577,0.001789,0.001845,0.160532,0.687971,0.326840,0.660540
0,1,13,0.100000,0.200000,17.540001,21.270000,0.634521,0.666092,0.068922,0.254035,0.216577,0.263977,0.003194,0.007189,0.006946,0.007471,21788.039103,7291.791425,1.068643,-0.517701,1.820485,1.762122,0.001524,0.003577,0.001789,0.001845,0.428088,0.660103,0.046895,0.646117
